date,time,home_team,score,away_team,attendance,venue,home_goals,away_goals
1988-07-22,,Mannheim,1–1,Leverkusen,,,1.0,1.0
1988-07-22,,Dortmund,1–2,Stuttgart,,,1.0,2.0
1988-07-23,,St Pauli,0–1,Nürnberg,,,0.0,1.0
1988-07-23,,S'gart Kickers,1–2,Bochum,,,1.0,2.0
1988-07-23,,Köln,1–1,Uerdingen,,,1.0,1.0
1988-07-23,,Werder Bremen,2–1,Hamburger SV,,,2.0,1.0
1988-07-23,,Hannover 96,2–3,Karlsruher,,,2.0,3.0
1988-07-23,,Bayern Munich,3–0,Eint Frankfurt,,,3.0,0.0
1988-07-23,,M'Gladbach,4–1,Kaiserslautern,,,4.0,1.0
,,,,,,,,
1988-07-29,,Hamburger SV,0–0,Dortmund,,,0.0,0.0
1988-07-29,,Stuttgart,2–1,Hannover 96,,,2.0,1.0
1988-07-30,,Nürnberg,0–2,Köln,,,0.0,2.0
1988-07-30,,Eint Frankfurt,1–2,S'gart Kickers,,,1.0,2.0
1988-07-30,,Kaiserslautern,0–0,Werder Bremen,,,0.0,0.0
1988-07-30,,Leverkusen,3–1,M'Gladbach,,,3.0,1.0
1988-07-30,,Uerdingen,0–0,Mannheim,,,0.0,0.0
1988-07-30,,Bochum,0–0,St Pauli,,,0.0,0.0
1988-07-30,,Karlsruher,2–2,Bayern Munich,,,2.0,2.0
,,,,,,,,
1988-08-12,,Dortmund,1–1,Kaiserslautern,,,1.0,1.0
1988-08-13,,S'gart Kickers,1–3,Karlsruher,,,1.0,3.0
1988-08-13,,Uerdingen,3–2,Nürnberg,,,3.0,2.0
1988-08-13,,St Pauli,2–0,Eint Frankfurt,,,2.0,0.0
1988-08-13,,Werder Bremen,3–1,Leverkusen,,,3.0,1.0
1988-08-13,,Mannheim,4–1,M'Gladbach,,,4.0,1.0
1988-08-13,,Hannover 96,2–3,Hamburger SV,,,2.0,3.0
1988-08-16,,Köln,1–0,Bochum,,,1.0,0.0
,,,,,,,,
1988-08-19,,Karlsruher,3–1,St Pauli,,,3.0,1.0
1988-08-19,,Eint Frankfurt,1–0,Köln,,,1.0,0.0
1988-08-20,,Leverkusen,2–0,Dortmund,,,2.0,0.0
1988-08-20,,Hamburger SV,0–1,Bayern Munich,,,0.0,1.0
1988-08-20,,Nürnberg,1–0,Mannheim,,,1.0,0.0
1988-08-20,,Kaiserslautern,0–0,Hannover 96,,,0.0,0.0
1988-08-20,,Stuttgart,4–0,S'gart Kickers,,,4.0,0.0
1988-08-20,,Bochum,1–1,Uerdingen,,,1.0,1.0
1988-08-20,,M'Gladbach,4–1,Werder Bremen,,,4.0,1.0
,,,,,,,,
1988-08-26,,Uerdingen,4–1,Eint Frankfurt,,,4.0,1.0
1988-08-26,,St Pauli,2–1,Stuttgart,,,2.0,1.0
1988-08-27,,Dortmund,0–0,M'Gladbach,,,0.0,0.0
1988-08-27,,S'gart Kickers,2–0,Hamburger SV,,,2.0,0.0
1988-08-27,,Nürnberg,3–1,Bochum,,,3.0,1.0
1988-08-27,,Bayern Munich,5–1,Kaiserslautern,,,5.0,1.0
1988-08-27,,Köln,6–1,Karlsruher,,,6.0,1.0
1988-08-27,,Hannover 96,2–2,Leverkusen,,,2.0,2.0
1988-08-27,,Mannheim,1–1,Werder Bremen,,,1.0,1.0
,,,,,,,,
1988-09-02,,M'Gladbach,2–0,Hannover 96,,,2.0,0.0
1988-09-03,,Karlsruher,0–1,Uerdingen,,,0.0,1.0
1988-09-03,,Hamburger SV,1–1,St Pauli,,,1.0,1.0
1988-09-03,,Bochum,2–2,Mannheim,,,2.0,2.0
1988-09-03,,Leverkusen,1–1,Bayern Munich,,,1.0,1.0
1988-09-03,,Eint Frankfurt,1–0,Nürnberg,,,1.0,0.0
1988-09-03,,Stuttgart,2–0,Köln,,,2.0,0.0
1988-09-03,,Kaiserslautern,6–0,S'gart Kickers,,,6.0,0.0
,,,,,,,,
1988-09-09,,St Pauli,1–1,Kaiserslautern,,,1.0,1.0
1988-09-10,,Köln,1–2,Hamburger SV,,,1.0,2.0
1988-09-10,,Nürnberg,1–3,Karlsruher,,,1.0,3.0
1988-09-10,,Hannover 96,2–2,Werder Bremen,,,2.0,2.0
1988-09-10,,S'gart Kickers,1–3,Leverkusen,,,1.0,3.0
1988-09-10,,Bayern Munich,3–0,M'Gladbach,,,3.0,0.0
1988-09-10,,Mannheim,0–3,Dortmund,,,0.0,3.0
1988-09-10,,Bochum,1–0,Eint Frankfurt,,,1.0,0.0
1988-09-10,,Uerdingen,0–0,Stuttgart,,,0.0,0.0
,,,,,,,,
1988-09-13,,Eint Frankfurt,0–0,Mannheim,,,0.0,0.0
1988-09-13,,Dortmund,4–0,Hannover 96,,,4.0,0.0
1988-09-13,,Leverkusen,2–2,St Pauli,,,2.0,2.0
1988-09-13,,Karlsruher,1–3,Bochum,,,1.0,3.0
1988-09-13,,Hamburger SV,3–0,Uerdingen,,,3.0,0.0
1988-09-13,,Werder Bremen,2–2,Bayern Munich,,,2.0,2.0
1988-09-13,,Stuttgart,4–0,Nürnberg,,,4.0,0.0
1988-09-13,,Kaiserslautern,1–1,Köln,,,1.0,1.0
1988-09-13,,M'Gladbach,1–1,S'gart Kickers,,,1.0,1.0
,,,,,,,,
1988-10-03,,Nürnberg,1–4,Hamburger SV,,,1.0,4.0
,,,,,,,,
1988-10-07,,Dortmund,1–1,S'gart Kickers,,,1.0,1.0
1988-10-08,,M'Gladbach,1–0,Köln,,,1.0,0.0
1988-10-08,,Leverkusen,2–2,Uerdingen,,,2.0,2.0
1988-10-08,,Kaiserslautern,2–1,Nürnberg,,,2.0,1.0
1988-10-08,,Hamburger SV,3–1,Bochum,,,3.0,1.0
1988-10-08,,Hannover 96,0–0,Bayern Munich,,,0.0,0.0
1988-10-08,,Werder Bremen,0–0,St Pauli,,,0.0,0.0
1988-10-08,,Karlsruher,2–1,Mannheim,,,2.0,1.0
1988-10-08,,Stuttgart,2–0,Eint Frankfurt,,,2.0,0.0
,,,,,,,,
1988-10-12,,Bayern Munich,1–1,Dortmund,,,1.0,1.0
1988-10-15,,St Pauli,1–1,M'Gladbach,,,1.0,1.0
,,,,,,,,
1988-10-21,,S'gart Kickers,0–1,Hannover 96,,,0.0,1.0
1988-10-22,,Nürnberg,1–1,Leverkusen,,,1.0,1.0
1988-10-22,,Uerdingen,0–0,M'Gladbach,,,0.0,0.0
1988-10-22,,Mannheim,0–3,Bayern Munich,,,0.0,3.0
1988-10-22,,Eint Frankfurt,0–1,Hamburger SV,,,0.0,1.0
1988-10-22,,Karlsruher,2–0,Stuttgart,,,2.0,0.0
1988-10-22,,Bochum,2–0,Kaiserslautern,,,2.0,0.0
1988-10-22,,Köln,2–0,Werder Bremen,,,2.0,0.0
1988-10-22,,St Pauli,1–0,Dortmund,,,1.0,0.0
,,,,,,,,
1988-10-27,,Leverkusen,1–1,Bochum,,,1.0,1.0
1988-10-29,,Dortmund,0–4,Köln,,,0.0,4.0
